symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step,method
sans_gr10_ll_bl1,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_wm1,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm1,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm1,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_nop,Number of Points,,,in,1,1,3,,,1,16
sans_gr10_ll_bl3,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_bl2,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_pn1,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_pn2,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_wm2,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm2,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm2,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_pn3,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_wm3,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm3,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm3,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_ll1,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm1-sans_gr10_ll_dm1))/(sans_gr10_ll_dm1-sans_gr10_ll_pm1))*( (sans_gr10_ll_bl1/25)^0.12),2901,,16
sans_gr10_ll_ll2,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm2-sans_gr10_ll_dm2))/(sans_gr10_ll_dm2-sans_gr10_ll_pm2))*( (sans_gr10_ll_bl2/25)^0.12),2902,,16
sans_gr10_ll_ll3,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm3-sans_gr10_ll_dm3))/(sans_gr10_ll_dm3-sans_gr10_ll_pm3))*( (sans_gr10_ll_bl3/25)^0.12),2903,,16
sans_gr10_ll_avg,Liquid Limit Average,,%,calc,,,,(sans_gr10_ll_ll1+sans_gr10_ll_ll2+sans_gr10_ll_ll3)/sans_gr10_ll_nop,2904,,16
sans_gr10_pl_dm3,Dry Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_nop,Number of Points,,number,in,1,1,3,,,1,16
sans_gr10_pl_pn1,Pan Number,,string,in,,,,,,,16
sans_gr10_pl_wm1,Wet Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_dm1,Dry Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pm1,Pan Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pm3,Pan Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pn2,Pan Number,,string,in,,,,,,,16
sans_gr10_pl_wm2,Wet Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_dm2,Dry Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pm2,Pan Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pn3,Pan Number,,string,in,,,,,,,16
sans_gr10_pl_wm3,Wet Mass,,grams,in,,,,,,0.01,16
sans_gr10_pl_pl1,Plastic Limit,,%,calc,,,,((100*(sans_gr10_pl_wm1-sans_gr10_pl_dm1))/(sans_gr10_pl_dm1-sans_gr10_pl_pm1)),2905,0.01,16
sans_gr10_pl_pl2,Plastic Limit,,%,calc,,,,((100*(sans_gr10_pl_wm2-sans_gr10_pl_dm2))/(sans_gr10_pl_dm2-sans_gr10_pl_pm2)),2906,0.01,16
sans_gr10_pl_pl3,Plastic Limit,,%,calc,,,,((100*(sans_gr10_pl_wm3-sans_gr10_pl_dm3))/(sans_gr10_pl_dm3-sans_gr10_pl_pm3)),2907,0.01,16
sans_gr10_pl_avg,Plastic Limit Average,,%,calc,,,,(sans_gr10_pl_pl1+sans_gr10_pl_pl2+sans_gr10_pl_pl3)/sans_gr10_pl_nop,2908,0.01,16
sans_gr10_pi,Plasticity Index,,index,calc,,,,sans_gr10_ll_avg-sans_gr10_pl_avg,2909,0.01,16
sans_gr10_ls_tn,Trough Number,,string,in,,,,,,,16
sans_gr10_ls_ls,Linear Shrinkage,,mm,in,,,,,,0.01,16
sans_gr10_ls_bl,Blows,,number,in,0,0,,,,1,16
sans_gr10_ls_pls,Percentage Linear Shrinkage,,%,calc,,,,((sans_gr10_ls_ls)*(100/150))*(0.8/(1-0.008*sans_gr10_ls_bl)),2910,0.01,16
