symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step,method
sans_gr10_ll_bl1,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_wm1,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm1,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm1,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_nop,Number of Points,,,in,1,1,3,,,1,16
sans_gr10_ll_bl3,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_bl2,Blows,,,in,0,0,,,,1,16
sans_gr10_ll_pn1,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_pn2,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_wm2,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm2,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm2,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_pn3,Pan Number,,string,in,,,,,,,16
sans_gr10_ll_wm3,Wet Mass,,grams,in,,,,,,,16
sans_gr10_ll_dm3,Dry Mass,,grams,in,,,,,,,16
sans_gr10_ll_pm3,Pan Mass,,grams,in,,,,,,,16
sans_gr10_ll_ll1,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm1-sans_gr10_ll_dm1))/(sans_gr10_ll_dm1-sans_gr10_ll_pm1))*( (sans_gr10_ll_bl1/25)^0.12),200,,16
sans_gr10_ll_ll2,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm2-sans_gr10_ll_dm2))/(sans_gr10_ll_dm2-sans_gr10_ll_pm2))*( (sans_gr10_ll_bl2/25)^0.12),201,,16
sans_gr10_ll_ll3,Liquid Limit,,%,calc,,,,((100*(sans_gr10_ll_wm3-sans_gr10_ll_dm3))/(sans_gr10_ll_dm3-sans_gr10_ll_pm3))*( (sans_gr10_ll_bl3/25)^0.12),202,,16
sans_gr10_ll_avg,Liquid Limit Average,,%,calc,,,,(sans_gr10_ll_ll1+sans_gr10_ll_ll2+sans_gr10_ll_ll3)/sans_gr10_ll_nop,203,,16
