"symbol","label","description","unit","input_type","default_value","minimum","maximum","formula","calculation_order","step","method"
"sans_gr31_omc","Optimum Moisture Content","","%","in",,,,"",,,21
"sans_gr31_sm1","Sample Mass","","grams","in",,,,"",,,21
"sans_gr31_pa1","Percentage Added","","%","in",,,,"",,,21
"sans_gr31_mm1","Mould Mass","","grams","in",,,,"",,,21
"sans_gr31_mwm1","Mould Plus Wet Mass","","grams","in",,,,"",,,21
"sans_gr31_pwmp1","Pan Wet Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pdmp1","Pan Dry Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pm1","Pan Mass","","grams","in",,,,"",,,21
"sans_gr31_pn2","Pan Number","","string","in",,,,"",,,21
"sans_gr31_mdd","Maximum Dry Density","","kg/m<sup>3</sup>","in",,,,"",,,21
"sans_gr31_sm3","Sample Mass","","grams","in",,,,"",,,21
"sans_gr31_pa3","Percentage Added","","%","in",,,,"",,,21
"sans_gr31_mm3","Mould Mass","","grams","in",,,,"",,,21
"sans_gr31_mwm3","Mould Plus Wet Mass","","grams","in",,,,"",,,21
"sans_gr31_pwmp3","Pan Wet Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pdmp3","Pan Dry Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pm3","Pan Mass","","grams","in",,,,"",,,21
"sans_gr31_sm4","Sample Mass","","grams","in",,,,"",,,21
"sans_gr31_pa4","Percentage Added","","%","in",,,,"",,,21
"sans_gr31_mm4","Mould Mass","","grams","in",,,,"",,,21
"sans_gr31_mwm4","Mould Plus Wet Mass","","grams","in",,,,"",,,21
"sans_gr31_pwmp4","Pan Wet Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pdmp4","Pan Dry Mass Plus Pan","","grams","in",,,,"",,,21
"sans_gr31_pm4","Pan Mass","","grams","in",,,,"",,,21
"sans_gr31_sm5","Sample Mass","","grams","in",,,,"",,,21
"sans_gr31_pa5","Percentage Added","","%","in",,,,"",,,21
"sans_gr31_mm5","Mould Mass","","grams","in",,,,"",,,21
"sans_gr31_mwm5","Mould Plus Wet Mass","","grams","in",,,,"",,,21
"sans_gr31_pwmp5","Pan Wet Mass Plus Pan","","grams","in",,,,"",,,21
